Generation,AverageFitness,BestFitness
0,0.7114295916848269,0.6527057315826417
1,0.6946826885647505,0.6335779752254487
2,0.6842014386886335,0.6220635037720204
3,0.6720342803874171,0.6045037515133619
4,0.6577043600782015,0.6029357343763112
5,0.6407487907348192,0.5899666443139315
6,0.6257728368370761,0.5838457502096892
7,0.6118613786569459,0.5685037440627814
8,0.6002663917630482,0.5469400093138217
9,0.5904820759765018,0.5469400093138217
10,0.580154674180835,0.5363690881997347
11,0.5728840525919614,0.5363690881997347
12,0.563642650759029,0.5302879929214716
13,0.5531851783775552,0.5207646493434906
14,0.5447998609369151,0.5142206649899482
15,0.5440345385526468,0.5080619707554579
16,0.5361370149836707,0.5072948775261641
17,0.528635869524054,0.5014781931638718
18,0.5223595661469743,0.49815332588255407
19,0.5169555232224866,0.4919946409612895
20,0.5154312509751127,0.4889719940394163
21,0.51275987897176,0.4877921970754862
22,0.5054606944583883,0.4837022203594447
23,0.5081101371295268,0.481444690322876
24,0.4989669834962898,0.47914935456812385
25,0.4971431982154788,0.4776235764175654
26,0.4948184223041236,0.47758132811784754
27,0.49268370286297214,0.476051111111045
28,0.49111232905279417,0.4752859960883857
29,0.49232352166898297,0.4742544714540244
30,0.4922023985768806,0.47375577721893797
31,0.4912681935102772,0.47375577721893797
32,0.4865348374182357,0.4729906752347947
33,0.4878918687380085,0.4729906752347947
34,0.4886257419465439,0.47286686784029014
35,0.4881453146911879,0.47286686784029014
36,0.4886492488663634,0.47286686784029014
37,0.485819264390172,0.47286686784029014
38,0.4872534279294378,0.47286686784029014
39,0.48597283440442535,0.47286686784029014
40,0.48770422873808533,0.47286686784029014
41,0.4879399526982343,0.47286686784029014
42,0.48414398936397196,0.47286686784029014
43,0.48885343110001506,0.47286686784029014
44,0.48672056754036924,0.4725626674115659
45,0.48845784040242224,0.4725626674115659
46,0.4880400618460335,0.47115623358488085
47,0.4887655381690182,0.47115623358488085
48,0.48359323036606633,0.47115623358488085
49,0.48312797444722927,0.47115623358488085
