Generation,AverageFitness,BestFitness
0,0.7104264264009801,0.5837710883319378
1,0.6828030818557591,0.5641161951810122
2,0.6495179002368372,0.5415175357192755
3,0.6078702241292816,0.49600214188098907
4,0.5664350456458407,0.472615259039402
5,0.5263213772043703,0.4444626649200916
6,0.49057811334468365,0.4010779071956873
7,0.45578865462031326,0.3239362836971879
8,0.4205071907349558,0.3239362836971879
9,0.38015864896479384,0.2950618477448821
10,0.34316360173120736,0.26717938439548017
11,0.3057015212978999,0.21474913870841258
12,0.27041513542040113,0.18997483755499123
13,0.23486745033693682,0.1594666669771075
14,0.2038952396428785,0.1331293193243444
15,0.17494687409039134,0.1241879500567913
16,0.15220091081102102,0.11574269723296164
17,0.13572527654787014,0.10513092200979589
18,0.12355737846179983,0.10513092200979589
19,0.1149050654660368,0.10513092200979589
20,0.10804314846959386,0.10343641034699975
21,0.1052902447745102,0.10343641034699975
22,0.10509291989119895,0.10343641034699975
23,0.10496955552278775,0.10343641034699975
24,0.10464259116881183,0.10343641034699975
25,0.10364752634848658,0.10343641034699975
26,0.10343641034700062,0.10343641034699975
27,0.10343641034700062,0.10343641034699975
28,0.10343641034700062,0.10343641034699975
29,0.10343641034700062,0.10343641034699975
30,0.10343641034700062,0.10343641034699975
31,0.10343641034700062,0.10343641034699975
32,0.10343641034700062,0.10343641034699975
33,0.10343641034700062,0.10343641034699975
34,0.10343641034700062,0.10343641034699975
35,0.10343641034700062,0.10343641034699975
36,0.10343641034700062,0.10343641034699975
37,0.10343641034700062,0.10343641034699975
38,0.10343641034700062,0.10343641034699975
39,0.10343641034700062,0.10343641034699975
40,0.10343641034700062,0.10343641034699975
41,0.10343641034700062,0.10343641034699975
42,0.10343641034700062,0.10343641034699975
43,0.10343641034700062,0.10343641034699975
44,0.10343641034700062,0.10343641034699975
45,0.10343641034700062,0.10343641034699975
46,0.10343641034700062,0.10343641034699975
47,0.10343641034700062,0.10343641034699975
48,0.10343641034700062,0.10343641034699975
49,0.10343641034700062,0.10343641034699975
