Generation,AverageFitness,BestFitness
0,0.712694285774443,0.610407498446107
1,0.6882369449904712,0.5596278444528581
2,0.6639084649222832,0.5355855367153882
3,0.623982661294659,0.49858260653018954
4,0.5821475433510207,0.43495475276410583
5,0.5422237009059337,0.41193307087570435
6,0.502275978759113,0.35405676543414594
7,0.4622561873457087,0.350754476647079
8,0.4294467085677671,0.3099531538039446
9,0.40092928825949864,0.30236278714612125
10,0.37269238462968757,0.2715279792517423
11,0.34709757925352475,0.24448166386932135
12,0.3211792290960297,0.20869638324752446
13,0.30216679485755865,0.20658955972716211
14,0.2805813295879504,0.19034940690919755
15,0.26334255652584126,0.18398579979389904
16,0.23814040403874348,0.16037055099904535
17,0.22543115684289627,0.1567892985112965
18,0.21609983323867618,0.1500958640754223
19,0.20601750891161766,0.1490053477175534
20,0.2036210371302797,0.1379858067788184
21,0.18835706872104907,0.1379858067788184
22,0.18371898958825286,0.1379858067788184
23,0.17535743112663715,0.1379858067788184
24,0.17449210442542482,0.1379858067788184
25,0.17090978025117412,0.1379858067788184
26,0.17622226459008586,0.1379858067788184
27,0.16994793136088512,0.13654189868420363
28,0.17719648647034578,0.13654189868420363
29,0.18173811957869726,0.12077187780030073
30,0.17558230310669068,0.12077187780030073
31,0.16729040535865047,0.12077187780030073
32,0.16202895129460124,0.12077187780030073
33,0.16200005878009127,0.12077187780030073
34,0.15511503019991374,0.12077187780030073
35,0.16428438424541855,0.12077187780030073
36,0.15363998336955043,0.12077187780030073
37,0.15652647357116148,0.12077187780030073
38,0.16015140176317988,0.12077187780030073
39,0.15374381824638259,0.12077187780030073
40,0.15674460670348409,0.12077187780030073
41,0.15042586929250162,0.12077187780030073
42,0.15808414117685113,0.12077187780030073
43,0.15823205221894113,0.12077187780030073
44,0.15447666268016863,0.12077187780030073
45,0.15739145874747498,0.12077187780030073
46,0.16043565314599192,0.12077187780030073
47,0.16112310242510744,0.12077187780030073
48,0.15555467185855987,0.12077187780030073
49,0.15549559345780323,0.12077187780030073
